name,reason
"chowking robinson galleria  south","invalid longitude"
"Jollibee pillilia","invalid latitude"
"MacDonald","invalid longitude"
"Franks","missing field: city"
"TOKYO TOKYO","invalid latitude"
"TOKYO TOKYO","invalid latitude"
"Franks","invalid latitude"
"TOKYO TOKYO","invalid latitude"
"TOKYO TOKYO","invalid latitude"
"Turks","missing field: longitude, invalid longitude"
"Chooks to Go","missing field: longitude, invalid longitude"
"Mang Inasal","missing field: city"
"McDonalds","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Shakey's Pizza","invalid longitude"
"Greenwich Pizza","invalid longitude"
"Greenwich Pizza","invalid longitude"
"Chooks to Go","invalid longitude"
"BonChon","missing field: city"
"Burger King","missing field: city"
"Jollibee","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Jollibee","missing field: longitude, invalid longitude"
"Jollibee","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Jollibee","missing field: longitude, invalid longitude"
"Red Ribbon","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"BonChon","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Crispy King","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Julie's Bakeshop","missing field: longitude, invalid longitude"
"Red Ribbon","invalid latitude"
"Pan de Manila","missing field: latitude, missing field: longitude, missing field: city, invalid latitude, invalid longitude"
"Crispy King","invalid latitude"
"Jollibee","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Chooks to Go","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Dunkin Donut","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Dunkin Donut","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"McDonalds","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Jollibee","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Chooks to Go","missing field: city"
"Andoks","missing field: latitude, missing field: longitude, missing field: city, invalid latitude, invalid longitude"
"Chowking","missing field: longitude, invalid longitude"
"McDonalds","missing field: longitude, invalid longitude"
"Chooks to Go","missing field: longitude, invalid longitude"
"KFC","invalid latitude, invalid longitude"
"YOLO Milk Tea Shop","invalid latitude, invalid longitude"
"Zagu","invalid latitude, invalid longitude"
"JD Bakery Cafe","invalid latitude, invalid longitude"
"J.CO Donuts & Coffee","invalid latitude, invalid longitude"
"The Shawarma Shack","invalid latitude, invalid longitude"
"Avocadoria","invalid latitude"
"Jollibee","missing field: city"
"Jollibee","missing field: city"
"Jollibee","missing field: city"
"Max's Restaurant","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Chooks to Go","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Pan de Manila","missing field: longitude, invalid longitude"
"Mang Inasal","missing field: longitude, invalid longitude"
"McDonalds","invalid latitude"
"Chooks to Go","missing field: longitude, invalid longitude"
"JOLLIBEE","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"KFC","missing field: longitude, invalid longitude"
"McDonalds","missing field: longitude, invalid longitude"
"CHOWKING","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Dunkin Donut","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Dunkin Donut","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Krispy Kreme","missing field: city"
"Avocadoria","missing field: longitude, invalid longitude"
"Krispy Kreme","missing field: longitude, invalid longitude"
"Chooks to Go","missing field: longitude, invalid longitude"
"Chowking","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Uncle John's","invalid latitude"
"JOLLIBEE","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Gringo","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Blake's Wings & Steaks","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Mang Inasal","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"JOLLIBEE","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Andoks","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Lemon Square","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Goldilocks","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"McDonald's","invalid longitude"
"Angel's Burger","missing field: longitude, invalid longitude"
"Potato Corner","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Happy Cup","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Happy Cup","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"K Egg","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Chooks to Go","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Sr Pedro","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Potato Corner","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Chooks to Go","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"MANG INASAL","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"JOLLIBEE","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Potato Corner","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"McDonalds","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Potato Corner","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Yellow Cab Pizza","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"JM Shawarma","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Goldilocks","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Red Ribbon","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"JOLLIBEE","missing field: latitude, missing field: longitude, invalid latitude, invalid longitude"
"Greenwich Pizza","invalid latitude, invalid longitude"
