name,latitude,longitude,category,landmark,barangay,city,province
"Lazy Potato",6.950690200800714,122.07177312750457,food,"sakura park",Pasonanca,"ZAMBOANGA CITY","ZAMBOANGA DEL SUR"
D'Coffee,16.518908677349692,121.18449306115508,food,"Near Triangle Park",Roxas,Solano,"Nueva Vizcaya"
"DUG.AB Grill & Resto Bar",7.305040515904693,125.67562893033028,food,"near CN GAS STATION ","New Visayas",Panabo,"Davao del Norte"
"KapiTamo Coffee - Santa Cruz",15.761354924011144,119.91116696968673,food,"Infront of North Central School Near Mercury Drugs Store","Poblacion South","Santa Cruz",Zambales
"Isla Café",11.999731883276684,120.20164618268609,food,"Barangay 5 National Highway, Coron Town Proper","Barangay V (Pob.)",Coron,Palawan
"ZAMBAL INASAL ",15.768216391415935,119.90924483165145,food,"Yamaha near Victory Liner","Poblacion North","Santa Cruz",Zambales
"OLAH  DAVAO'S BEST HALOHALO",7.313636974161112,125.68576382473111,food,"Eleventh street Business Complex","San Francisco (Pob.)",Panabo,"Davao del Norte"
"EVIC CEBU LECHON HOUSE",7.3075855497956335,125.68625869229436,food,"NEAR GAISANO GRAND MALL IN FRONT OF DEN'S CAFE","Santo Niño (Pob.)",Panabo,"Davao del Norte"
"GANSIK MEOKJA FOOD HOUSE",7.299685686733559,125.6828579865396,food,"INSIDE FOOD CENTRUM","New Pandan (Pob.)",Panabo,"Davao del Norte"
"Wok To Box Cabuyao",14.240054058892177,121.139857750386,food,"near San isidro elementary school","San Isidro",Cabuyao,Laguna
"N'Grande Special Halo-Halo By Nanie: Balayan Branch",13.939183093027292,120.73221709999999,food,"Eastwest Bank","Barangay 5 (Pob.)",Balayan,Batangas
"Cooking Ng Ina Mo",10.870352798188298,124.495279900405,food,"Purok 1",Apale,Isabel,LEYTE
"Dan Eric's Ice Cream by Reycel",15.91929969260195,120.36119436845183,food,"Casbog, Magtaking in front of Muradja Motorparts",Magtaking,"San Carlos City",Pangasinan
"Koffee Ato 22",11.995154320184088,120.20259501412511,food,"Coron Luahalti Park","Barangay III (Pob.)",Coron,Palawan
"Amigos Pasta Pizza House",14.261893875189696,121.12763458862901,food,"Infront of mestle phillipines",Niugan,Cabuyao,Laguna
"Sharky's Resto Bar",12.003133029880136,120.19889758899808,food,"dinagpan road near rusi","Barangay V (Pob.)",Coron,Palawan
"BO-BA CAFE Balayan",13.939099702940622,120.72700845077634,food,"Near Samu-al Unlimited Samgyup & ADM Shoes","Barangay 3 (Pob.)",Balayan,Batangas
"Mr. Snow Sindangan ",8.241123908773632,122.99925388768315,food,"In front of amigo and albacity building ",Poblacion,Sindangan,"Zamboanga del Norte"
Glazed,8.237218771005761,122.99596918746829,food,"Above Yuson Printing Shop",Poblacion,Sindangan,"Zamboanga del Norte"
"Rafaels Gotohan",10.975354761499837,124.89225508645177,food,"rizal park","Poblacion District II",Burauen,Leyte
"Cakes And Honeys",6.911572943570645,125.46112278476357,food,"Across Petro Gazz Station ",Astorga,"Santa Cruz","Davao del Sur"
Ben&Beth,10.7389030000,122.9685310000,food,"Beside Savemore Talisay fronting Talisay Elementary School","Zone 12-A (Pob.)","Talisay City","Negros Occidental"
"Hey Brew Cafe & Restaurant",15.525725826222764,119.96682615950704,food,"Near Masinloc Municipal Hall",Inhobol,Masinloc,Zambales
Tang.Law,8.239152265205306,123.00026239827275,food,"Atbang Llorente Compound, Itaas aa P&M Meatshop",Poblacion,Sindangan,"Zamboanga del Norte"
"Jakobace Restaurant",13.933905613733572,120.73314970359206,food,"infront of Hall of Justice near BNHS","Barangay 10 (Pob.)",Balayan,Batangas
"BATAC EMPANADA",18.05405678629261,120.56420773357661,food,riverside,"Valdez Pob. (Caoayan)",Batac,"Ilocos Norte"
"Nsj Roasted Chicken",6.1514291284577,125.17268003895879,food,"Nsj news agency services office","San Isidro (Lagao 2nd)","General Santos City","South Cotabato"
"Bari Cafe",14.19518430336134,120.8800264634192,food,"Near cavite state university beside at poblacion 1 bridge",Kaytapos,Indang,Cavite
"Pandora's Bayview And Grill",12.966523582898322,124.00380050763488,food,"Near Rompeolas","Talisay (Pob.)","Sorsogon City",Sorsogon
"Smoothie Delight",16.611344600272993,120.31660968437791,food,"Near Sto.Niño Junkshop","San Vicente","San Fernando","La Union"
"NJ Palayok Restaurant",15.741716264994718,119.90871140733361,food,"Infront of Sta. Cruz Doctors Manila Hospital",Biay,"Santa Cruz",Zambales
"Bite's Fried Chicken House ",7.312452768023294,125.68827470764518,food,"Front of FALLI (Adlaon) school ","Santo Niño (Pob.)",Panabo,"Davao del Norte"
"Miras Frozen Foods ",17.118784613656068,121.61613391712308,food,"Van van terminal","Barangay 10 (Pob.)",Ormoc,Leyte
Tiano's,6.367149817787989,124.7470067627728,food,"Gomez St. 15-30 Minutes Preparation Time","Libertad (Pob.)",Surallah,"South Cotabato"
"Carmela's Cakes And Pastries",8.380218940498764,126.00176492705941,food,"Along National Highway, front of Seaoil Gasoline Station",Poblacion,Rosario,"Agusan del Sur"
"Pherms Manok",6.836194408306674,125.41291510686278,food,"Infront of Alberto's Pizza","Zone III (Pob.)","Santa Cruz","Davao del Sur"
"Pascaran Store",16.98118237945649,122.01340494677424,food,"Near Soho","Zone I (Pob.)","San Mariano",Isabela
"Kapi Tamo Coffee - Masinloc",15.534824801569082,119.9552025945079,food,"Near 7/11","North Poblacion",Masinloc,Zambales
"Laurentino's Food Corner",17.118560958856804,121.61620298400521,food,"In front of Fundline, below Zambal Inasal","Poblacion North","Santa Cruz",Zambales
"A-Manong's Tsibugan",8.2371895710235,122.9959755577147,food,"Kan-anan sa Baybay",Bantayan,Sindangan,"Zamboanga del Norte"
"BTF Masinloc",15.539618025861083,119.94919536052242,food,"Infront of North Poblacion Brgy Hall | Beside Daday's Clothing Store","North Poblacion",Masinloc,Zambales
"Takobowls On The Go",15.763607149942601,119.91033749654889,food,"In front of JSN Hardware near BOC","Poblacion South","Santa Cruz",Zambales
"Kuya Shads Resto",15.78229320518701,119.90277031436563,food,"Hellas Building along Olongapo - Bugallon Rd",Pagatpat,"Santa Cruz",Zambales
"Ellie`s Samgy199",16.443206812937973,120.59247018769383,food,"In front of Metro Bank LA Trinidad ",Balili,"La Trinidad",Benguet
"DOM'S SIZZLING HOUSE",17.119165915399943,121.6155525483191,food,"Palawan UST Near Coco Davao","Zone IV (Pob.)","Santa Cruz","Davao del Sur"
Tealicacy,15.764820373014569,119.91058392450213,food,"Eliazo St., Torralba Building","Poblacion South","Santa Cruz",Zambales
"Abraham’s Lechon House",15.928035502891424,120.34820212043765,food,"Beside old jollibee","Rizal (Pob.)","San Carlos City",Pangasinan
"EGGY TOAST",17.118492709806553,121.61594616249204,food,,Damilag,"Manolo Fortich",Bukidnon
"Tres Marias Milktea & Coffee",15.900884593555922,120.37076951935886,food,"Rachel ann Sound sytem",Turac,"San Carlos City",Pangasinan
"BigZ Burger Balayan Branch",13.943077123134197,120.73038535192609,food,"Villa Camella Building Ermita Calzada Balayan Batnga",Calzada,Balayan,Batangas
"DENJ Food Cart",14.973861121747529,120.53024427965283,food,"Solib Night Market",Solib,Floridablanca,Pampanga
"Cleanvibe Sabon Trading",7.194090865979922,124.53632930293678,"non food","Pob 6 front of NDMC Gym","Barangay Poblacion 6",Midsayap,Cotabato
"Ate Rica’s Bacsilog ERM Bldg",13.941512607149152,121.14649185910821,food,"Beside De la Salle Lipa","Mataas Na Lupa",Lipa,Batangas
"Bae Station",6.918058333326743,122.08841511027292,food,"Crispin atilano Street fronting Doña Maria Drive",Tetuan,"ZAMBOANGA CITY","ZAMBOANGA DEL SUR"
"Z1ON FOOD HOUSE",15.539413953973487,119.95121637359262,food,"Estella st tabi ng jnt tapat ng Asian vision ","North Poblacion",Masinloc,Zambales
"SUTUKIL FOOD HUB",9.324888721980024,123.31133896484971,food,"Between 2Go and NorthPoint",Bantayan,Dumaguete,"Negros Oriental"
"Tapsilog Station ",15.92173736428417,120.34225456627364,food,"near Gospel School","San Pedro-Taloy","San Carlos City",Pangasinan
"Pastil San Carlos",15.934907338880095,120.35959107801318,food,"Tarece Before San Carlos Home Subdivision",Tarece,"San Carlos City",Pangasinan
"Izzy Food House",6.839522447900404,125.41701503678944,food,"Fronting Marpe Hospital","Zone III (Pob.)","Santa Cruz","Davao del Sur"
"LS19 Pizza House",13.94472460400416,120.74032897129655,food,"Near villa beadoy resort along national highway",Gumamela,Balayan,Batangas
"Samgyup Tah",6.83532235513292,125.4184083098014,food,"Tajos Beach","Zone III (Pob.)","Santa Cruz","Davao del Sur"
"Jayson Inihaw Na Bangus At Hito",15.922174120511743,120.37892561405897,food,"Infront of Holy Cross Chapel",Coliling,"San Carlos City",Pangasinan
"Take Out By Montañez",17.118784613677924,121.61613391712308,food,"Plaza Santa Cruz Beside, Talisay Ceboley","Zone II (Pob.)","Santa Cruz","Davao del Sur"
"Shan Food Store",14.575919731293453,121.12176122143865,food,"Rublou Greenland, In front of Happy 11. beside Angel's Burger","San Juan",Cainta,Rizal
"Kuyakevs Tapsilogan Express",8.236539208699627,123.00057822838426,food,"BESIDE LYNS laundry shop",Poblacion,Sindangan,"Zamboanga del Norte"
"Shumailord Steam&Fry",11.006579450356872,124.61079389379775,food,"Back of SPC / Adjacent to Naring's Store","Barangay 11 (Pob.)",Ormoc,Leyte
Shawarmaloush,14.144055462989606,121.31394552066922,"non food","ZP Burger","Kanluran (Pob.)",Calauan,Laguna
"RG's Spicy Blend",8.3966365642865,126.01048411801457,food,,Libuac,Rosario,"Agusan del Sur"
"85:97 Cafe",9.0627575328716,123.03076606354256,food,"Beside FTMS ","Poblacion I",Siaton,"Negros Oriental"
"Bake Bubble Cafe",9.054395592840262,123.02242153002227,food,"Siaton Science High School or Mantuyop Gym",Mantuyop,Siaton,"Negros Oriental"
"Siomai Bomb",9.06010483386466,123.0344153009355,food,"Green Stalls Beside NORSU Siaton","Poblacion III",Siaton,"Negros Oriental"
"Chef G’s Burger House",15.926583601732489,120.34903948562189,food,"Near Metrobank right side","Mabini (Pob.)","San Carlos City",Pangasinan
"RRJ'S FOODHAUS",8.411159995672026,124.8127500526607,food,"Rebisco ",Alae,"Manolo Fortich",Bukidnon
"SKIN ESSENCE BY ELLIE PH",13.951101932342247,120.73109244927764,"non food","18-20 Kamagong Street, Bonville Subdivision",Calzada,Balayan,Batangas
"Kosilo Diner ",15.923031324334044,120.34218354150653,food,,"San Pedro-Taloy","San Carlos City",Pangasinan
"Steffi’s Sweet Dessert",17.11878429323245,121.61613358184695,food,"Fronting MARPE Hospital, Beside Mormons Church","Zone II (Pob.)","Santa Cruz","Davao del Sur"
"Kabalen Kitchenette",12.979057169461129,124.01513921096921,food,"Infront of Dito Cellcite",Bibincahan,"Sorsogon City",Sorsogon
"MG Events Center ",15.92474944920449,120.36174790933728,food,"Railway ",Bega,"San Carlos City",Pangasinan
"PRINTahanan XVIII Printing Services",8.119546946785714,122.6668276078999,"non food","Infront of Brgy. Fatima Commercial Building",Fatima,Liloy,"Zamboanga del Norte"
"ACQ Dressing Plant ",15.51885717720954,120.58163406327367,food,"In the front of Juvy Farm",Dolores,"Tarlac City",Tarlac
"Tummy Choys",14.792727148197699,120.94029620289803,food,"Bocaue Municipal Hall (plaza Centralle) ",Bundukan,Bocaue,Bulacan
"Doc's Pizza",10.390158304399723,124.98220796890158,food,"Chapel (San Antonio de Padua)","Zone I (Pob.)",Sogod,"Southern Leyte"
"ML Food Hub",10.385339768837182,124.98005418106914,food,"SBMPC Building near SOLECO Office","Zone I (Pob.)",SOGOD,"SOUTHERN LEYTE"
"Kabrews Café",12.968207528182571,124.00261798873544,food,"Near JB Chepao/SLMCSI & ABA FRUITS","Talisay (Pob.)","Sorsogon City",Sorsogon
"Doctor Jack Pharmacy And Clinic",10.597281077274847,122.58795018065936,"non food","Doctor Jack","San Miguel",Jordan,Guimaras
"Kimchi Cravings Ormoc",10.975196114796997,124.63467752560973,food,"Along Ipil central school, near potpotan sa Sangi",Ipil,Ormoc,LEYTE
Cathtea,8.581627404609973,123.34800375625491,food,"Front bodega lorente..unahan st. Joseph..padulong jolibee..tapad litsonan manok",Poblacion,Sindangan,"Zamboanga del Norte"
"Kuya J's Boneless Lechon House",11.005590651281764,124.61075456812978,food,"San Pedro near SPC","Barangay 1 (Pob.)",Ormoc,LEYTE
"BIJEE SIOMAI KING",13.93701033195067,120.72647267952561,food,"Sa likod ng Riko Bebe Restaurant","Barangay 2 (Pob.)",Balayan,Batangas
