name,latitude,longitude,category,landmark,barangay,city,province
Turks,17.121971350490966,121.62202656472783,food,"xentro mall","Rizal (Pob.)",ROXAS,ISABELA
"Dunkin Donut",16.600635528564453,120.31883239746094,food,"ROBINSON ",Sevilla,"CITY OF SAN FERNANDO (Capital)","LA UNION"
"Burger King",16.610601060980855,120.31673587238367,food,"SAN FERNANDO",Catbangen,"CITY OF SAN FERNANDO (Capital)","LA UNION"
KFC,16.6286506,120.3222482,food,"CSI The City Mall San Fernando La Union",Biday,"CITY OF SAN FERNANDO (Capital)","LA UNION"
Greenwich,16.617968791870577,120.31703195821952,food,"La Union","Barangay III (Pob.)","CITY OF SAN FERNANDO (Capital)","LA UNION"
Jollibee,16.6366108,120.3120581,food,Lingsat,Lingsat,"CITY OF SAN FERNANDO (Capital)","LA UNION"
Andoks,17.118654947711903,121.61486140461761,food,-,"Bantug (Pob.)",ROXAS,ISABELA
"MACAO IMPERIAL TEA ",17.627551,121.732717,food,"ROBINSONS MALL",Tanza,"TUGUEGARAO CITY (Capital)",CAGAYAN
"BON CHON",17.627551,121.732717,food,"ROBINSONS MALL",Tanza,"TUGUEGARAO CITY (Capital)",CAGAYAN
"BUFFALO WING'S-SM DOWNTOWN",17.614885,121.727807,food,"SM 2ND FLOOR","Ugac Sur","TUGUEGARAO CITY (Capital)",CAGAYAN
"MISTER DONUT-ROBINSONS MALL",17.627551,121.732717,food,"NEAR SUPERMAKET,GROUND FLOOR",Tanza,"TUGUEGARAO CITY (Capital)",CAGAYAN
"DUNKIN DONUT-ROBINSONS MALL",17.627551,121.732717,food,"ROBINSON MALL",Tanza,"TUGUEGARAO CITY (Capital)",CAGAYAN
TURKS,17.654926,121.744912,food,CARIG,Carig,"TUGUEGARAO CITY (Capital)",CAGAYAN
"POTATO CORNER",17.627551,121.732717,food,"ROBINSONS MALL",Tanza,"TUGUEGARAO CITY (Capital)",CAGAYAN
"CHOOKS TO GO -TUGUEGARAO CITY",17.614885,121.727807,food,Tugue,"Centro 4 (Pob.)","TUGUEGARAO CITY (Capital)",CAGAYAN
"SHAWARMA SHACK",17.613065,121.723787,food,"Sm Downtown","Ugac Sur","TUGUEGARAO CITY (Capital)",CAGAYAN
MCDONALDS,17.653769463341895,121.74544507156196,food,CARIG,Carig,"TUGUEGARAO CITY (Capital)",CAGAYAN
MCDONALDS,17.62732820060107,121.73226163752699,food,ROTONDA,Tanza,"TUGUEGARAO CITY (Capital)",CAGAYAN
GREENWHICH,17.627551,121.732717,food,"ROBINSON MALL BESIDE MACAO IMPRIAL TEA",Tanza,"TUGUEGARAO CITY (Capital)",CAGAYAN
