name,reason,value
"chooks to go","invalid latitude","latitude="16.156457240733495,""
"shakeys","invalid latitude","latitude="16.157540065393775,""
"McDonald's San Pedro Bayan","invalid latitude","latitude="14.364658691478471,""
"Kfc","invalid latitude","latitude="10.723199206068404,""
"Kfc","invalid latitude","latitude="10.695862004647905,""
"Kfc","invalid latitude","latitude="10.717917876427721,""
"Jollibee","invalid latitude","latitude="10.730446690414965,""
"Jollibee pillilia","invalid latitude, invalid longitude","latitude="121.348444.00", longitude="14.4791689.000""
"mcdo tanay","invalid longitude","longitude="121.2849245.00""
"chowking Tanay","invalid latitude, invalid longitude","latitude="14.5797053.00", longitude="121.331288200.""
"andoks tanay","invalid latitude, invalid longitude","latitude="14.535745.000", longitude="121.338532.000""
"Jollibee","invalid longitude","longitude="14.1781778121.2425138""
"Franks","missing field: city","city="(missing)""
"Chooks to Go","invalid latitude","latitude="14.586558452379744,""
"Dunkin Donut","invalid latitude","latitude="14.617308496345796,""
"Turks","invalid latitude","latitude="14.58295235360364,""
"Dunkin Donut","invalid latitude","latitude="14.587730263728734,""
"Turks","missing field: longitude, invalid longitude","longitude="(missing)""
"Chooks to Go","missing field: longitude, invalid longitude","longitude="(missing)""
"Mang Inasal","missing field: city","city="(missing)""
"Potato Corner","invalid latitude","latitude="16.691939,121.5519988""
"Burger King","invalid latitude","latitude="14.379179609835338,""
"Burger King","invalid latitude","latitude="14.449326749159399,""
"Burger King","invalid latitude","latitude="14.413782044157792, 120.94123433181605""
"McDonalds","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Wendy's","invalid latitude","latitude="14.456153925667842,""
"Wendy's","invalid latitude","latitude="14.460856691970054,""
"Cindy's","invalid latitude","latitude="16.689032092331445, 121.54717204165156""
"Jollibee","invalid latitude","latitude="14.459619419929995,""
"Jollibee","invalid latitude","latitude="14.42393615505134,""
"BonChon","missing field: city","city="(missing)""
"Chowking","invalid latitude, invalid longitude","latitude="14.7169366121.1460628", longitude="14.887108820.867445821""
